,area_type,availability,location,size,society,total_sqft,bath,balcony,price(in lakhs),bhk,price_per_sqft
1235,Super built-up  Area,Ready To Move,Jakkur,3,BrdgeNo,1760.0,3.0,2.0,110.0,3.0,6250.0
1236,Built-up  Area,18-Mar,Hoodi,4,,3385.0,4.0,1.0,220.0,4.0,6499.261447562777
1237,Super built-up  Area,Ready To Move,Kanakpura Road,2,,1500.0,2.0,2.0,69.0,2.0,4600.0
1238,Super built-up  Area,21-Dec,Kanakpura Road,3,PrarePa,1100.0,3.0,2.0,53.0,3.0,4818.181818181818
1239,Super built-up  Area,19-Dec,Thanisandra,4,Bhe 2ko,2259.0,5.0,2.0,135.0,4.0,5976.095617529881
1240,Built-up  Area,Ready To Move,Electronic City,3,Goty  E,1449.0,3.0,2.0,100.0,3.0,6901.311249137336
1241,Built-up  Area,Ready To Move,other,3,,1768.0,3.0,3.0,95.0,3.0,5373.303167420814
1242,Super built-up  Area,Ready To Move,Cooke Town,4,,3900.0,5.0,,415.0,4.0,10641.02564102564
1243,Super built-up  Area,Ready To Move,Sarjapur  Road,2,Adeatlm,1290.0,2.0,2.0,88.0,2.0,6821.705426356589
1244,Super built-up  Area,Ready To Move,Benson Town,3,,3200.0,4.0,,350.0,3.0,10937.5
1245,Super built-up  Area,Ready To Move,Yelahanka,2,BKideor,1185.0,2.0,2.0,45.0,2.0,3797.46835443038
1246,Plot  Area,Ready To Move,other,4,,3400.0,4.0,2.0,190.0,4.0,5588.235294117647
1247,Super built-up  Area,Ready To Move,other,2,SSaveik,1100.0,2.0,2.0,38.5,2.0,3500.0
1248,Super built-up  Area,18-May,Bommasandra,3,SSestth,1295.0,2.0,1.0,50.28,3.0,3882.6254826254826
1249,Plot  Area,Ready To Move,Yelahanka New Town,2,KHatsFl,1200.0,2.0,1.0,130.0,2.0,10833.333333333334
1250,Super built-up  Area,Ready To Move,Uttarahalli,2,Shony S,1180.0,2.0,1.0,41.3,2.0,3499.9999999999995
1251,Super built-up  Area,Ready To Move,other,3,,1655.0,3.0,2.0,86.06,3.0,5200.0
1252,Super built-up  Area,Ready To Move,TC Palaya,2,,1500.0,2.0,0.0,75.0,2.0,5000.0
1253,Built-up  Area,Ready To Move,R.T. Nagar,3,,1380.0,2.0,1.0,50.0,3.0,3623.1884057971015
1254,Built-up  Area,Ready To Move,Babusapalaya,2,AReenui,1305.0,2.0,1.0,70.0,2.0,5363.984674329502
1255,Super built-up  Area,Ready To Move,other,2,,1040.0,2.0,1.0,68.0,2.0,6538.461538461538
1256,Super built-up  Area,Ready To Move,Marathahalli,3,Asintas,1690.0,3.0,2.0,116.0,3.0,6863.905325443787
1257,Super built-up  Area,Ready To Move,Sarjapur  Road,3,SJityaz,1550.0,2.0,2.0,69.75,3.0,4500.0
1258,Super built-up  Area,Ready To Move,Hormavu,2,ARureig,1018.0,2.0,1.0,50.8,2.0,4990.176817288801
1259,Super built-up  Area,Ready To Move,Somasundara Palya,2,ManceEl,1200.0,2.0,2.0,75.0,2.0,6250.0
1260,Super built-up  Area,Ready To Move,Brookefield,2,Saandvi,1089.0,2.0,1.0,49.0,2.0,4499.540863177227
1261,Built-up  Area,Ready To Move,Uttarahalli,2,SivelMa,980.0,2.0,1.0,45.0,2.0,4591.836734693878
1262,Plot  Area,Ready To Move,Pai Layout,2,,780.0,2.0,1.0,72.0,2.0,9230.76923076923
1263,Plot  Area,Ready To Move,KR Puram,2,,1200.0,1.0,0.0,65.0,2.0,5416.666666666667
1264,Super built-up  Area,Ready To Move,Kanakpura Road,3,PuandHi,1498.0,3.0,2.0,74.9,3.0,5000.000000000001
1265,Super built-up  Area,Ready To Move,other,2,Hoxiaa ,1185.0,2.0,,38.0,2.0,3206.7510548523205
1266,Super built-up  Area,Ready To Move,other,2,GMentAp,936.0,2.0,2.0,42.0,2.0,4487.179487179487
1267,Super built-up  Area,Ready To Move,Electronic City,3,GMown E,1500.0,2.0,1.0,70.0,3.0,4666.666666666667
1268,Super built-up  Area,Ready To Move,Whitefield,2,Sonviik,1186.0,2.0,3.0,55.0,2.0,4637.43676222597
1269,Built-up  Area,Ready To Move,Bommasandra,3,KBaleoy,1447.0,3.0,2.0,80.0,3.0,5528.6800276434005
1270,Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,Neess P,1030.0,2.0,1.0,50.0,2.0,4854.368932038835
1271,Super built-up  Area,Ready To Move,Indira Nagar,2,Gonorir,1145.0,2.0,2.0,100.0,2.0,8733.624454148472
1272,Super built-up  Area,Ready To Move,other,3,VMlet C,1450.0,3.0,3.0,68.0,3.0,4689.6551724137935
1273,Super built-up  Area,20-Dec,Yelahanka,3,Un 46th,1450.0,3.0,0.0,65.255,3.0,4500.3448275862065
1274,Plot  Area,Ready To Move,Yelahanka New Town,2,,2200.0,2.0,0.0,180.0,2.0,8181.818181818182
1275,Built-up  Area,Ready To Move,Green Glen Layout,2,Mazzo P,940.0,2.0,1.0,56.8,2.0,6042.553191489362
1276,Built-up  Area,Ready To Move,8th Phase JP Nagar,4,,2600.0,4.0,2.0,115.0,4.0,4423.076923076923
1277,Super built-up  Area,Ready To Move,Bannerghatta Road,2,Amarere,1150.0,2.0,2.0,55.0,2.0,4782.608695652174
1278,Super built-up  Area,Ready To Move,Hebbal,3,Mahosya,1740.0,2.0,1.0,137.0,3.0,7873.563218390805
1279,Super built-up  Area,Ready To Move,5th Phase JP Nagar,5,,4000.0,5.0,2.0,170.0,5.0,4250.0
1280,Super built-up  Area,21-Dec,Talaghattapura,3,Sodgere,2099.0,3.0,3.0,147.0,3.0,7003.334921391139
1281,Super built-up  Area,Ready To Move,Whitefield,2,Savarar,1024.0,2.0,1.0,32.0,2.0,3125.0
1282,Super built-up  Area,Ready To Move,Yelahanka,2,,890.0,2.0,,40.0,2.0,4494.38202247191
1283,Super built-up  Area,18-Mar,Begur Road,2,,952.0,2.0,1.0,42.0,2.0,4411.764705882353
1284,Built-up  Area,Ready To Move,Yelahanka,2,Velas V,1315.0,2.0,3.0,75.0,2.0,5703.42205323194
1285,Plot  Area,Ready To Move,Ambedkar Nagar,3,Thessrm,2900.0,3.0,2.0,297.0,3.0,10241.379310344828
1286,Super built-up  Area,Ready To Move,JP Nagar,3,Arndesa,2050.0,3.0,3.0,82.0,3.0,4000.0
1287,Super built-up  Area,Ready To Move,CV Raman Nagar,3,,1480.0,3.0,2.0,65.0,3.0,4391.891891891892
1288,Super built-up  Area,Ready To Move,Harlur,2,Prncyrn,1290.0,2.0,1.0,85.0,2.0,6589.147286821705
1289,Super built-up  Area,Ready To Move,Haralur Road,2,Zostaa ,1056.0,2.0,1.0,60.0,2.0,5681.818181818182
1290,Super built-up  Area,19-Jul,Kanakpura Road,2,Soazak ,1296.0,2.0,3.0,89.06,2.0,6871.913580246914
1291,Built-up  Area,Ready To Move,Kumaraswami Layout,1,,850.0,1.0,1.0,78.0,1.0,9176.470588235294
1292,Super built-up  Area,Ready To Move,Rajaji Nagar,3,Raesta ,1210.0,2.0,2.0,81.0,3.0,6694.214876033057
1293,Super built-up  Area,21-Jun,Tumkur Road,3,Coowsri,1343.5,3.0,0.0,57.76,3.0,4299.218459248233
1294,Super built-up  Area,Ready To Move,Electronics City Phase 1,1,SrnesSr,650.0,1.0,1.0,23.0,1.0,3538.4615384615386
1295,Super built-up  Area,Ready To Move,Kasavanhalli,1,Srire S,770.0,1.0,1.0,43.82,1.0,5690.909090909091
1296,Built-up  Area,Ready To Move,other,3,Coner C,1991.0,3.0,2.0,160.0,3.0,8036.162732295329
1297,Super built-up  Area,Ready To Move,Uttarahalli,3,Ayaya A,1215.0,2.0,2.0,52.85,3.0,4349.794238683127
1298,Built-up  Area,Ready To Move,Chikkalasandra,3,V2avei ,1428.0,2.0,1.0,80.0,3.0,5602.240896358543
1299,Plot  Area,Ready To Move,TC Palaya,2,,1200.0,2.0,1.0,70.0,2.0,5833.333333333333
1300,Built-up  Area,Ready To Move,other,1,,615.0,1.0,1.0,24.0,1.0,3902.439024390244
1301,Built-up  Area,Ready To Move,other,2,,782.0,2.0,2.0,55.68,2.0,7120.204603580562
1302,Super built-up  Area,Ready To Move,Whitefield,3,Haestt ,2901.0,4.0,2.0,190.0,3.0,6549.465701482248
1303,Built-up  Area,Ready To Move,Hebbal,3,Brium C,3520.0,3.0,3.0,430.0,3.0,12215.90909090909
1304,Super built-up  Area,Ready To Move,Hulimavu,2,RatosAr,1255.0,2.0,2.0,73.0,2.0,5816.733067729084
1305,Super built-up  Area,Ready To Move,Mallasandra,2,,1340.0,2.0,2.0,61.0,2.0,4552.238805970149
1306,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1,,500.0,1.0,1.0,25.0,1.0,5000.0
1307,Super built-up  Area,Ready To Move,Hennur Road,3,SaireSa,2041.0,3.0,3.0,138.0,3.0,6761.391474767271
1308,Super built-up  Area,Ready To Move,other,2,,1134.0,2.0,1.0,40.0,2.0,3527.336860670194
1309,Super built-up  Area,Ready To Move,6th Phase JP Nagar,2,NCierar,1170.0,2.0,2.0,120.0,2.0,10256.410256410256
1310,Super built-up  Area,20-Dec,Kanakpura Road,3,PrarePa,1100.0,2.0,1.0,53.0,3.0,4818.181818181818
1311,Super built-up  Area,Ready To Move,Kundalahalli,3,Dieldli,1397.0,3.0,2.0,110.0,3.0,7874.0157480314965
1312,Super built-up  Area,Ready To Move,Begur,3,Spews L,1304.0,3.0,0.0,65.0,3.0,4984.662576687117
1313,Super built-up  Area,Ready To Move,Thanisandra,2,SLaceda,1100.0,2.0,1.0,36.0,2.0,3272.7272727272725
1314,Built-up  Area,18-Jun,Whitefield,3,,1655.0,3.0,2.0,97.0,3.0,5861.027190332326
1315,Super built-up  Area,19-Jul,Kanakpura Road,2,Soazak ,1330.0,2.0,1.0,107.0,2.0,8045.112781954887
1316,Super built-up  Area,Ready To Move,Sahakara Nagar,2,ArrdsOr,960.0,2.0,3.0,56.0,2.0,5833.333333333333
1317,Super built-up  Area,19-Jun,Hebbal,4,Raard B,2470.0,5.0,2.0,247.0,4.0,10000.0
1318,Super built-up  Area,Ready To Move,Indira Nagar,3,ToSky F,2800.0,3.0,1.0,330.0,3.0,11785.714285714286
1319,Built-up  Area,Ready To Move,other,2,VBavaai,620.0,2.0,1.0,22.0,2.0,3548.3870967741937
1320,Super built-up  Area,Ready To Move,Hosa Road,2,,1245.0,2.0,1.0,62.0,2.0,4979.919678714859
1321,Super built-up  Area,Ready To Move,Sarjapur  Road,2,,1026.0,2.0,2.0,60.8,2.0,5925.925925925926
1322,Super built-up  Area,19-Dec,Hebbal,3,Magiaya,1255.0,2.0,1.0,95.0,3.0,7569.721115537848
1323,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,Axdam V,1000.0,2.0,1.0,70.65,2.0,7065.000000000001
1324,Super built-up  Area,Ready To Move,other,2,Radhian,902.0,2.0,2.0,42.0,2.0,4656.319290465632
1325,Super built-up  Area,Ready To Move,Marathahalli,4,Prionad,2500.0,5.0,2.0,181.0,4.0,7240.0
1326,Built-up  Area,Ready To Move,Indira Nagar,1,GoilsDa,850.0,1.0,2.0,60.0,1.0,7058.823529411765
1327,Super built-up  Area,Ready To Move,Kadubeesanahalli,2,Saisei ,1185.0,2.0,3.0,55.0,2.0,4641.350210970464
1328,Super built-up  Area,Ready To Move,Arekere,2,Amngsag,1222.0,2.0,2.0,45.0,2.0,3682.4877250409168
1329,Super built-up  Area,Ready To Move,other,3,SMdesy ,1465.0,2.0,2.0,88.0,3.0,6006.825938566553
1330,Super built-up  Area,20-Dec,Varthur,2,Myple M,1045.0,2.0,1.0,40.65,2.0,3889.9521531100477
1331,Super built-up  Area,Ready To Move,other,3,SoniaPe,2479.13,3.0,1.0,215.0,3.0,8672.39717158842
1332,Built-up  Area,Ready To Move,Thanisandra,4,,2100.0,4.0,1.0,95.0,4.0,4523.809523809524
1333,Super built-up  Area,18-May,other,3,,1215.0,2.0,2.0,49.86,3.0,4103.7037037037035
1334,Super built-up  Area,Ready To Move,Ananth Nagar,3,,1200.0,2.0,1.0,65.0,3.0,5416.666666666667
1335,Super built-up  Area,Ready To Move,Whitefield,3,Sulesil,1585.0,3.0,1.0,84.0,3.0,5299.6845425867505
1336,Super built-up  Area,Ready To Move,Electronic City Phase II,2,Brods W,1031.0,2.0,1.0,55.0,2.0,5334.62657613967
1337,Built-up  Area,Ready To Move,Yelahanka,3,PrrloMo,1815.0,3.0,2.0,82.0,3.0,4517.906336088155
1338,Super built-up  Area,Ready To Move,other,3,,2100.0,3.0,2.0,240.0,3.0,11428.57142857143
1339,Plot  Area,Ready To Move,Yelahanka,4,Aaire S,3206.0,5.0,,270.0,4.0,8421.70929507174
1340,Super built-up  Area,Ready To Move,Lingadheeranahalli,3,Soiewre,1506.0,3.0,1.0,95.0,3.0,6308.100929614874
1341,Super built-up  Area,17-Oct,Ramagondanahalli,3,ViistLa,1451.0,3.0,1.0,60.44,3.0,4165.40317022743
1342,Built-up  Area,Ready To Move,9th Phase JP Nagar,2,,1164.0,2.0,1.0,56.0,2.0,4810.996563573884
1343,Plot  Area,Ready To Move,Chikka Tirupathi,3,,1616.0,3.0,0.0,95.0,3.0,5878.712871287129
1344,Super built-up  Area,Ready To Move,Jakkur,2,HRaniIb,1300.0,2.0,1.0,85.0,2.0,6538.461538461538
1345,Super built-up  Area,Ready To Move,Kodichikkanahalli,2,PentyVB,1025.0,2.0,2.0,66.0,2.0,6439.024390243902
1346,Built-up  Area,Ready To Move,Whitefield,4,,2444.0,4.0,,145.0,4.0,5932.896890343699
1347,Built-up  Area,Ready To Move,other,1,Kaantth,834.0,1.0,1.0,60.0,1.0,7194.244604316546
1348,Super built-up  Area,Ready To Move,Ambalipura,3,,1800.0,3.0,3.0,110.0,3.0,6111.111111111111
1349,Super built-up  Area,18-Aug,Banashankari,3,,1650.0,3.0,2.0,90.75,3.0,5500.0
1350,Super built-up  Area,Ready To Move,Rajaji Nagar,2,Brway G,1440.0,2.0,2.0,185.0,2.0,12847.222222222223
1351,Built-up  Area,18-Jun,Panathur,1,,661.0,1.0,1.0,40.0,1.0,6051.437216338881
1352,Super built-up  Area,18-Dec,Ananth Nagar,2,Marnara,1109.0,2.0,1.0,60.0,2.0,5410.279531109108
1353,Built-up  Area,Ready To Move,Anandapura,2,,1200.0,2.0,0.0,58.0,2.0,4833.333333333333
1354,Super built-up  Area,Ready To Move,other,2,,1160.0,2.0,2.0,57.0,2.0,4913.793103448276
1355,Super built-up  Area,Ready To Move,Hennur Road,2,Koagati,1061.0,2.0,1.0,54.92,2.0,5176.248821866164
1356,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3,,1370.0,2.0,1.0,54.79,3.0,3999.2700729927005
1357,Super built-up  Area,Ready To Move,other,2,ARnamru,1160.0,2.0,1.0,41.75,2.0,3599.137931034483
1358,Plot  Area,17-Aug,Anjanapura,3,,1500.0,3.0,1.0,139.0,3.0,9266.666666666666
1359,Super built-up  Area,Ready To Move,Kudlu Gate,3,,1465.0,2.0,2.0,49.81,3.0,3400.0
1360,Super built-up  Area,Ready To Move,Harlur,2,,1200.0,2.0,2.0,52.0,2.0,4333.333333333333
1361,Super built-up  Area,19-Mar,Hennur Road,3,Puachal,1482.0,2.0,3.0,97.0,3.0,6545.209176788124
1362,Super built-up  Area,Ready To Move,Yeshwanthpur,1,IBityin,667.0,1.0,1.0,36.85,1.0,5524.737631184408
1363,Super built-up  Area,Ready To Move,Yeshwanthpur,1,IBityin,674.0,1.0,1.0,36.85,1.0,5467.359050445104
1364,Super built-up  Area,Ready To Move,Old Airport Road,2,FlsicFl,1150.0,2.0,1.0,90.0,2.0,7826.086956521739
1365,Built-up  Area,Ready To Move,Whitefield,2,Sancya ,1225.0,2.0,2.0,47.6,2.0,3885.714285714286
1366,Super built-up  Area,Ready To Move,Bannerghatta,2,,1070.0,2.0,1.0,87.0,2.0,8130.841121495327
1367,Super built-up  Area,Ready To Move,Sarjapur  Road,4,Ahriaup,1864.0,3.0,2.0,105.0,4.0,5633.0472103004295
1368,Plot  Area,Ready To Move,other,4,PrstaTe,4051.0,4.0,3.0,345.0,4.0,8516.415699827203
1369,Super built-up  Area,Ready To Move,Dodda Nekkundi,2,,1148.0,2.0,1.0,56.0,2.0,4878.048780487805
1370,Super built-up  Area,Ready To Move,other,4,,3000.0,5.0,,270.0,4.0,9000.0
1371,Super built-up  Area,Ready To Move,Mysore Road,2,,1170.0,2.0,2.0,65.0,2.0,5555.555555555556
1372,Built-up  Area,Ready To Move,JP Nagar,4,Arentra,3000.0,3.0,2.0,150.0,4.0,5000.0
1373,Super built-up  Area,Ready To Move,Hebbal,3,Mahosya,1760.0,2.0,2.0,123.0,3.0,6988.636363636364
1374,Built-up  Area,Ready To Move,Horamavu Agara,2,,755.0,2.0,1.0,37.49,2.0,4965.562913907284
1375,Built-up  Area,Ready To Move,Koramangala,3,K ncy R,1710.0,3.0,2.0,210.0,3.0,12280.701754385966
1376,Super built-up  Area,Ready To Move,Thigalarapalya,3,Prtanha,2072.0,4.0,2.0,139.0,3.0,6708.494208494209
1377,Super built-up  Area,18-Apr,Hebbal,3,Arcia S,1430.0,3.0,1.0,85.0,3.0,5944.055944055944
1378,Super built-up  Area,Ready To Move,other,3,,1700.0,3.0,1.0,97.0,3.0,5705.882352941177
1379,Super built-up  Area,Ready To Move,Yelahanka,2,Hotat H,1285.0,2.0,2.0,56.0,2.0,4357.976653696498
1380,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,,1035.0,2.0,1.0,39.33,2.0,3800.0
1381,Super built-up  Area,Ready To Move,other,2,Peide L,1194.0,2.0,2.0,47.0,2.0,3936.348408710218
1382,Super built-up  Area,Ready To Move,Mysore Road,3,Brama P,1500.0,3.0,2.0,70.0,3.0,4666.666666666667
1383,Super built-up  Area,Ready To Move,KR Puram,2,MCvarar,1142.0,2.0,1.0,51.0,2.0,4465.84938704028
1384,Super built-up  Area,18-May,Whitefield,2,Prtates,1216.0,2.0,1.0,73.0,2.0,6003.289473684211
1385,Super built-up  Area,Ready To Move,Babusapalaya,2,ARngsd ,1061.0,2.0,1.0,33.84,2.0,3189.4439208294066
1386,Plot  Area,Ready To Move,other,2,,1600.0,2.0,1.0,160.0,2.0,10000.0
1387,Super built-up  Area,Ready To Move,Kanakpura Road,3,Hahtsya,1610.0,3.0,3.0,78.5,3.0,4875.776397515528
1388,Super built-up  Area,Ready To Move,Horamavu Agara,3,Honcyju,1364.0,2.0,3.0,50.0,3.0,3665.689149560117
1389,Super built-up  Area,18-May,other,2,,1100.0,2.0,,53.0,2.0,4818.181818181818
1390,Super built-up  Area,Ready To Move,Harlur,3,,1749.0,3.0,2.0,112.0,3.0,6403.659233847913
1391,Super built-up  Area,Ready To Move,other,2,APusenc,1233.0,2.0,3.0,100.0,2.0,8110.300081103001
1392,Built-up  Area,Ready To Move,Frazer Town,3,Frhts H,1305.0,3.0,,95.45,3.0,7314.176245210728
1393,Super built-up  Area,19-Jun,Jalahalli,2,DSata S,1057.0,2.0,1.0,34.71,2.0,3283.822138126774
1394,Plot  Area,Ready To Move,Kanakpura Road,4,ColeyNa,2775.0,3.0,1.0,165.0,4.0,5945.945945945946
1395,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,,1100.0,2.0,0.0,46.0,2.0,4181.818181818182
1396,Built-up  Area,Ready To Move,Hormavu,3,Neise P,1604.0,3.0,0.0,68.0,3.0,4239.401496259352
1397,Super built-up  Area,Ready To Move,Hennur Road,2,,1020.0,2.0,3.0,47.0,2.0,4607.843137254902
1398,Super built-up  Area,Ready To Move,Mahadevpura,3,Maourit,1505.0,3.0,2.0,64.0,3.0,4252.491694352159
1399,Super built-up  Area,18-Jun,Panathur,2,,1007.0,2.0,1.0,64.0,2.0,6355.511420059583
1400,Plot  Area,Ready To Move,Whitefield,3,Anlthmo,1200.0,3.0,1.0,56.72,3.0,4726.666666666667
1401,Super built-up  Area,Ready To Move,Kadugodi,4,VSaya A,3000.0,4.0,0.0,134.0,4.0,4466.666666666667
1402,Super built-up  Area,Ready To Move,Kanakpura Road,2,Niacesa,1207.0,2.0,2.0,79.9,2.0,6619.718309859156
1403,Super built-up  Area,Ready To Move,Haralur Road,2,,1092.0,2.0,2.0,44.0,2.0,4029.3040293040294
1404,Super built-up  Area,Ready To Move,Green Glen Layout,3,Prodsm ,1630.0,3.0,2.0,68.0,3.0,4171.7791411042945
1405,Super built-up  Area,18-Apr,Panathur,2,Prcesvy,1193.0,2.0,1.0,86.0,2.0,7208.717518860017
1406,Super built-up  Area,Ready To Move,Sarakki Nagar,4,Sowerew,3124.0,6.0,3.0,349.0,4.0,11171.574903969271
1407,Built-up  Area,Ready To Move,other,2,TealdEm,1170.0,2.0,2.0,86.0,2.0,7350.427350427351
1408,Super built-up  Area,Ready To Move,Babusapalaya,2,Veisear,1245.0,2.0,2.0,58.0,2.0,4658.634538152611
1409,Super built-up  Area,Ready To Move,Thanisandra,2,Bhmesy ,1056.0,2.0,2.0,68.0,2.0,6439.393939393939
1410,Super built-up  Area,Ready To Move,Begur Road,2,Dhalsh ,1200.0,2.0,2.0,46.8,2.0,3900.0
1411,Super built-up  Area,Ready To Move,other,2,,920.0,2.0,1.0,46.0,2.0,5000.0
1412,Super built-up  Area,Ready To Move,Koramangala,2,,1290.0,2.0,3.0,100.0,2.0,7751.937984496124
1413,Super built-up  Area,Ready To Move,HBR Layout,3,Gats He,1722.0,3.0,,95.0,3.0,5516.8408826945415
1414,Super built-up  Area,Ready To Move,Nagarbhavi,3,,1850.0,3.0,2.0,90.0,3.0,4864.864864864865
1415,Built-up  Area,Ready To Move,other,3,Sphts H,1600.0,3.0,2.0,180.0,3.0,11250.0
1416,Super built-up  Area,Ready To Move,other,3,,3000.0,3.0,1.0,265.0,3.0,8833.333333333334
1417,Super built-up  Area,Ready To Move,Budigere,3,PrityTr,1820.0,3.0,2.0,85.5,3.0,4697.802197802198
1418,Super built-up  Area,Ready To Move,Kaggadasapura,2,JaaldEm,1325.0,2.0,2.0,50.0,2.0,3773.5849056603774
1419,Super built-up  Area,Ready To Move,Koramangala,2,K ncy R,1180.0,2.0,1.0,128.0,2.0,10847.457627118643
1420,Super built-up  Area,Ready To Move,Malleshpalya,3,,1785.0,3.0,2.0,75.0,3.0,4201.680672268908
1421,Built-up  Area,Ready To Move,Kasavanhalli,3,,1550.0,2.0,3.0,52.0,3.0,3354.8387096774195
1422,Super built-up  Area,Ready To Move,Harlur,2,Prncyrn,1197.0,2.0,1.0,79.0,2.0,6599.832915622389
1423,Super built-up  Area,18-Apr,Electronic City Phase II,2,MJtroty,1003.0,2.0,1.0,40.6,2.0,4047.8564307078764
1424,Super built-up  Area,Ready To Move,1st Phase JP Nagar,4,Prhtsok,2825.0,4.0,3.0,250.0,4.0,8849.557522123894
1425,Built-up  Area,Ready To Move,Panathur,2,,1000.0,2.0,1.0,68.0,2.0,6800.0
1426,Plot  Area,Ready To Move,other,2,,1200.0,1.0,0.0,50.0,2.0,4166.666666666667
1427,Built-up  Area,Ready To Move,Mallasandra,4,Shbhi S,1810.0,3.0,2.0,57.0,4.0,3149.171270718232
1428,Built-up  Area,Ready To Move,Whitefield,2,,1240.0,2.0,2.0,70.0,2.0,5645.1612903225805
1429,Super built-up  Area,Ready To Move,Yelahanka New Town,3,KHatsFl,1400.0,2.0,2.0,80.0,3.0,5714.285714285715
1430,Super built-up  Area,Ready To Move,Lakshminarayana Pura,2,,1210.0,2.0,2.0,75.0,2.0,6198.347107438017
1431,Super built-up  Area,19-Dec,Hoodi,2,Caycend,1063.0,2.0,1.0,61.17,2.0,5754.468485418626
1432,Plot  Area,18-May,Kasavanhalli,4,,4260.0,4.0,2.0,333.0,4.0,7816.901408450704
1433,Super built-up  Area,Ready To Move,Seegehalli,3,Paoliy ,1830.0,4.0,2.0,82.0,3.0,4480.87431693989
1434,Super built-up  Area,Ready To Move,Hennur Road,3,,1500.0,2.0,2.0,62.0,3.0,4133.333333333333
1435,Built-up  Area,Ready To Move,other,3,Suncy R,1685.0,2.0,1.0,110.0,3.0,6528.189910979228
1436,Super built-up  Area,Ready To Move,Hennur Road,3,SaireSa,1832.0,3.0,1.0,116.0,3.0,6331.8777292576415
1437,Super built-up  Area,Ready To Move,Kengeri,2,,1160.0,2.0,2.0,40.6,2.0,3500.0
1438,Super built-up  Area,18-May,Balagere,1,Soresea,645.0,1.0,1.0,39.0,1.0,6046.511627906977
1439,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,GrrvaGr,1540.0,3.0,3.0,60.0,3.0,3896.103896103896
1440,Super built-up  Area,Ready To Move,other,6,,4250.0,6.0,3.0,150.0,6.0,3529.4117647058824
1441,Super built-up  Area,18-May,Koramangala,3,SRidsrc,1594.0,3.0,,125.0,3.0,7841.907151819322
1442,Super built-up  Area,Ready To Move,other,3,,912.0,2.0,1.0,70.0,3.0,7675.438596491228
1443,Super built-up  Area,19-Mar,Yelahanka,3,,1616.0,3.0,1.0,65.0,3.0,4022.2772277227723
1444,Super built-up  Area,18-Oct,Hennur Road,3,DSapeSk,1866.0,2.0,2.0,61.58,3.0,3300.10718113612
1445,Super built-up  Area,Ready To Move,Thanisandra,2,MenueNo,1185.0,2.0,2.0,42.0,2.0,3544.3037974683543
1446,Super built-up  Area,Ready To Move,other,2,Ciques ,1400.0,2.0,2.0,80.0,2.0,5714.285714285715
1447,Super built-up  Area,Ready To Move,Harlur,3,Prncyrn,1749.0,3.0,2.0,115.0,3.0,6575.18582046884
1448,Super built-up  Area,Ready To Move,Hosakerehalli,4,Taonte ,3024.0,5.0,1.0,248.0,4.0,8201.0582010582
1449,Super built-up  Area,Ready To Move,other,2,SLwernf,1254.0,2.0,1.0,53.0,2.0,4226.475279106858
1450,Super built-up  Area,18-Jun,Mysore Road,2,Gopia O,1005.0,2.0,0.0,35.175,2.0,3499.9999999999995
1451,Built-up  Area,Ready To Move,Bannerghatta Road,3,SNity S,1270.0,2.0,1.0,73.0,3.0,5748.031496062992
1452,Super built-up  Area,18-Apr,other,3,Sariana,1508.0,3.0,1.0,75.0,3.0,4973.474801061008
1453,Super built-up  Area,Ready To Move,Rajaji Nagar,3,Brway G,1725.0,3.0,3.0,200.0,3.0,11594.202898550724
1454,Built-up  Area,Ready To Move,Jigani,2,DLhtsan,918.0,2.0,1.0,49.0,2.0,5337.690631808279
1455,Super built-up  Area,Ready To Move,Sarjapur  Road,3,Klark L,1691.0,3.0,3.0,120.0,3.0,7096.392667060911
1456,Super built-up  Area,Ready To Move,other,2,,1050.0,2.0,1.0,43.5,2.0,4142.857142857143
1457,Super built-up  Area,19-Jun,Hebbal,4,Raard B,2470.0,4.0,2.0,203.0,4.0,8218.623481781377
1458,Super built-up  Area,Ready To Move,Kadugodi,3,KMnorab,1711.0,3.0,3.0,75.0,3.0,4383.4015195791935
1459,Super built-up  Area,Ready To Move,other,2,,1112.0,2.0,3.0,68.0,2.0,6115.107913669065
1460,Super built-up  Area,Ready To Move,Padmanabhanagar,2,,1100.0,2.0,1.0,60.0,2.0,5454.545454545455
1461,Super built-up  Area,20-Oct,Hosa Road,2,Skume R,1040.0,2.0,1.0,61.0,2.0,5865.384615384615
1462,Super built-up  Area,Ready To Move,Sanjay nagar,2,BSiumly,1050.0,2.0,0.0,59.0,2.0,5619.047619047619
1463,Super built-up  Area,18-Apr,Sarjapur  Road,3,AsastDe,1157.0,2.0,1.0,57.84,3.0,4999.1356957649095
1464,Super built-up  Area,Ready To Move,Banashankari,3,Bregae ,1700.0,3.0,2.0,125.0,3.0,7352.941176470588
1465,Super built-up  Area,Ready To Move,Babusapalaya,3,,1611.0,2.0,2.0,66.0,3.0,4096.83426443203
